stock_id,name,isin,market,listed_date
1101,台泥,TW0001101004,TWSE,1962-02-09
1102,亞泥,TW0001102002,TWSE,1962-06-08
1103,嘉泥,TW0001103000,TWSE,1969-11-14
1104,環泥,TW0001104008,TWSE,1971-02-01
1108,幸福,TW0001108009,TWSE,1990-06-06
1109,信大,TW0001109007,TWSE,1991-12-05
1110,東泥,TW0001110005,TWSE,1994-10-22
1201,味全,TW0001201002,TWSE,1962-02-09
1203,味王,TW0001203008,TWSE,1964-08-24
1210,大成,TW0001210003,TWSE,1978-05-20
1213,大飲,TW0001213007,TWSE,1981-04-10
1215,卜蜂,TW0001215002,TWSE,1987-07-27
1216,統一,TW0001216000,TWSE,1987-12-28
1217,愛之味,TW0001217008,TWSE,1989-10-28
1218,泰山,TW0001218006,TWSE,1989-11-11
1219,福壽,TW0001219004,TWSE,1990-12-01
1220,台榮,TW0001220002,TWSE,1991-11-20
1225,福懋油,TW0001225001,TWSE,1993-09-27
1227,佳格,TW0001227007,TWSE,1994-04-09
1229,聯華,TW0001229003,TWSE,1976-07-19
1231,聯華食,TW0001231009,TWSE,1995-11-02
1232,大統益,TW0001232007,TWSE,1996-02-09
1233,天仁,TW0001233005,TWSE,1999-01-20
1234,黑松,TW0001234003,TWSE,1999-03-12
1235,興泰,TW0001235000,TWSE,2000-09-11
1236,宏亞,TW0001236008,TWSE,2001-09-17
1256,鮮活果汁-KY,KYG858681003,TWSE,2016-03-17
1301,台塑,TW0001301000,TWSE,1964-07-27
1303,南亞,TW0001303006,TWSE,1967-11-05
1304,台聚,TW0001304004,TWSE,1972-05-20
1305,華夏,TW0001305001,TWSE,1973-03-05
1307,三芳,TW0001307007,TWSE,1985-11-23
1308,亞聚,TW0001308005,TWSE,1986-06-20
1309,台達化,TW0001309003,TWSE,1986-06-27
1310,台苯,TW0001310001,TWSE,1987-08-06
1312,國喬,TW0001312007,TWSE,1988-12-21
1313,聯成,TW0001313005,TWSE,1989-03-27
1314,中石化,TW0001314003,TWSE,1991-07-12
1315,達新,TW0001315000,TWSE,1992-05-09
1316,上曜,TW0001316008,TWSE,1992-10-15
1319,東陽,TW0001319002,TWSE,1994-12-12
1321,大洋,TW0001321008,TWSE,1999-01-26
1323,永裕,TW0001323004,TWSE,2000-09-11
1324,地球,TW0001324002,TWSE,2000-09-11
1325,恆大,TW0001325009,TWSE,2000-09-11
1326,台化,TW0001326007,TWSE,1984-12-20
1337,再生-KY,KYG0539R1039,TWSE,2011-07-01
1338,廣華-KY,KYG451001070,TWSE,2012-12-19
1339,昭輝,TW0001339000,TWSE,2012-04-24
1340,勝悅-KY,KYG935971054,TWSE,2013-12-06
1341,富林-KY,KYG3730M1050,TWSE,2018-12-24
1342,八貫,TW0001342004,TWSE,2020-11-24
1402,遠東新,TW0001402006,TWSE,1967-04-14
1409,新纖,TW0001409001,TWSE,1973-08-31
1410,南染,TW0001410009,TWSE,1973-10-18
1413,宏洲,TW0001413003,TWSE,1975-12-23
1414,東和,TW0001414001,TWSE,1976-02-02
1416,廣豐,TW0001416006,TWSE,1976-04-20
